Membership No  Date Joined  Active  
    55038      2020-2-21    no    
    99129      2015-6-25    no    
    54354      2020-2-4     no    
    42304      2019-5-11    no    
    70666      2018-1-23    no    
    30152      2015-3-10    no    
    29203      2016-10-16   no    
    21876      2018-8-13    no    
    25359      2016-8-4     no    
    37231      2015-7-6     no    
    93384      2017-10-25   no    
    98094      2018-8-24    no    
    96308      2018-8-15    no    
    46187      2017-6-4     no    
    46861      2015-4-25    no    
